learning_rate,n_steps,batch_size,n_epochs,gamma,clip_range,gae_lambda,ent_coef,vf_coef,max_grad_norm,target_kl,policy_kwargs
3e-4,1024,64,10,0.99,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.99,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.99,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,64,10,0.995,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,64,10,0.995,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.99,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.99,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.97,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.97,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,10,0.995,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,10,0.995,0.2,0.97,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.97,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.1,0.97,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.90,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.90,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.90,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.95,0.0,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.95,0.01,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.95,0.02,0.5,0.5,0.01,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,1024,128,20,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[256,256],ortho_init=True)"
3e-4,1024,128,20,0.99,0.2,0.97,0.0,0.5,0.5,0.01,"dict(net_arch=[128,128])"
